idFrame,idFrameElement,frameName,FrameElementName,coreType,description
1220,11397,Accommodation,Rate,cty_peripheral,"It indicates the characteristics of #Lodge in relation to aspects of accommodation, such as luxury, price and number of stars."
1220,11398,Accommodation,Type,cty_peripheral,"Which is the type of establishment offering its services. Usually, #Types are defined in regards to the #Lodge s location, such as farm or jungle hotels, or to some specific characteristic other than the ones covered by the #Rate, such as green hotels."
1220,11519,Accommodation,Place,cty_peripheral,The #Place where the #Lodge is located.
1220,11520,Accommodation,Tourist,cty_peripheral,The individual or group that use the #Lodge.
1220,11521,Accommodation,Purpose,cty_peripheral,Some specific action made possible by the #Lodge.
233,2455,Accompaniment,Participant,cty_core,It is the accompanied entity (person or object).
233,2456,Accompaniment,Co-participant,cty_core,It is the accompanying entity (person or object).
233,2457,Accompaniment,Participants,cty_core,Two or more entities construed as symmetrically and usually equally participating in an event or relation.
675,6585,Accomplishment,Means,cty_peripheral,"An intentional action performed by the #Agent that lets them accomplish their #Goal. 

<ex>Can you , too , <t>achieve</t> omniscience <fex name=""Mns"">by calling on the power of God</fex> ?</ex>"
675,6586,Accomplishment,Agent,cty_core,"The conscious entity, generally a person, that performs the intentional act that fulfills the #Goal."
675,6587,Accomplishment,Instrument,cty_peripheral,"An entity directed by the #Agent that allows them to achieve their #Goal.

<ex><fex name=""Ins"">With a simple hammer and saw</fex> , you can <t>accomplish</t> almost anything !</ex>"
675,6588,Accomplishment,Place,cty_peripheral,"This FE identifies the place where the #Agent achieves their #Goal.

<ex>She had already <t>achieved</t> that feat <fex name=""Place"">in Burma</fex> .</ex>"
675,6589,Accomplishment,Time,cty_peripheral,"This FE identifies the time when the #Agent achieves their #Goal.

<ex><fex name=""Time"">By 1700</fex> , our forces will have <t>achieved</t> total victory .</ex>"
675,6590,Accomplishment,Manner,cty_peripheral,"Any description of the event which is not covered by more specific FEs, including secondary effects (quietly, loudly), and general descriptions comparing events (the same way). It may also indicate salient characteristics of the #Agent that also affect the action (presumptuously, coldly, deliberately, eagerly, carefully). 

<ex>Perhaps you <t>achieved</t> perfection <fex name=""man"">too quickly</fex> .</ex>"
675,6591,Accomplishment,Explanation,cty_extra-thematic,"A state-of-affairs from which the accomplishment would be predicted.

<ex>Yes, he was humble, but he <t>achieved</t> enlightenment <fex name=""exp"">only because he came from the upper class</fex>.</ex>"
675,6592,Accomplishment,Degree,cty_extra-thematic,"The extent to which the #Agent achieves the #Goal. 

<ex>He has only <fex name=""Degr"">partially</fex> <t>achieved</t> his objective .</ex>"
675,6593,Accomplishment,Goal,cty_core,"The state or action that the #Agent has wished to participate in.

<ex>Iraq had <t>achieved</t> <fex name=""goa"">its programme objective of producing nuclear weapons</fex> . </ex>"
675,6594,Accomplishment,Outcome,cty_extra-thematic,The #Outcome is the failure or success of accomplishing  a #Goal.
675,6595,Accomplishment,Circumstances,cty_extra-thematic,Some specification of the circumstances under which #Goal is accomplished.
675,6596,Accomplishment,Duration,cty_peripheral,The length of time that it takes for #Goal to be accomplished.
675,6597,Accomplishment,Domain,cty_extra-thematic,"The particular aspect or domain of the #Goal that is achieved.

<ex>No one can surpass his <fex name=""dom"">economic and financial</fex> <t>achievements</t>.</ex>"
675,6598,Accomplishment,Particular_iteration,cty_extra-thematic,"Expressions marked with this extra-thematic FE modify a non-iterative use of the target, and indicate that it is conceived as embedded within an iterated series of similar events or states."
144,1618,Accoutrements,Wearer,cty_peripheral,The #Wearer wears the #Accoutrement.
144,1619,Accoutrements,Style,cty_peripheral,It identifies  the #Style of the #Accoutrement. 
144,1620,Accoutrements,Material,cty_peripheral,It identifies the #Material from which the #Accoutrement is made.
144,1621,Accoutrements,Accoutrement,cty_core,It identifies  the #Accoutrement.
144,1622,Accoutrements,Descriptor,cty_peripheral,It identifies a characteristic or description of the #Accoutrement.
144,1623,Accoutrements,Use,cty_peripheral,It identifies the purpose for which an #Accoutrement is worn or made.
144,1624,Accoutrements,Part,cty_peripheral,It identifies a part of the #Accoutrement.
144,1625,Accoutrements,Body_location,cty_peripheral,It identifies the place on the body where a particular #Accoutrement is located.
144,1626,Accoutrements,Creator,cty_peripheral,The individual or group who created the #Accoutrement.
144,1627,Accoutrements,Time_of_creation,cty_peripheral,The time at which the #Accoutrement was created.
144,1628,Accoutrements,Name,cty_peripheral,A name given to an individual #Accoutrement to distinguish it from all other objects.
845,8317,Accuracy,Agent,cty_core,"The individual who tries to interact with the #Target.

<ex><fex name=""Agent"">The mailman</fex> is very <t>exact</t> about addresses -- he has to be .</ex>"
845,8318,Accuracy,Target,cty_extra-thematic,The #Target is the entity whose attributes (esp. position) the #Agent is attempting to match in an action.
845,8319,Accuracy,Outcome,cty_extra-thematic,"The #Outcome is the failure or success of an attempt at interaction, incorporated in the LUs of the frame."
845,8320,Accuracy,Means,cty_core,This FE identifies the #Means by which the #Agent attempts to hit a #Target_value.
845,8321,Accuracy,Degree,cty_core,How closely the expected or actual location that the #Instrument interacts with corresponds to the #Target_value.
845,8322,Accuracy,Time,cty_extra-thematic,This FE identifies the #Time when something hits or misses.
845,8323,Accuracy,Place,cty_extra-thematic,The place where the #Agent manages or fails to interact with the #Target.
845,8324,Accuracy,Instrument,cty_core,The object manipulated by the #Agent in order to interact with the #Target.
845,8325,Accuracy,Target_value,cty_extra-thematic,The value or values for a parameter that match the #Agent s intent.
845,8326,Accuracy,Deviation,cty_core,"Expected or actual deviation from the #Target_value.

<ex>For this they would need a thermometer <t>accurate</t> <fex name=""Deviation"">to within a microkelvin</fex>. </ex>"
845,8327,Accuracy,Domain,cty_extra-thematic,The particular aspect or domain in which something is accurate.
845,8328,Accuracy,Circumstances,cty_extra-thematic,Circumstances describe the state of the world (at a particular time and place) which is specifically independent of the event itself and any of its participants.
845,8329,Accuracy,Frequency,cty_extra-thematic,"How often the #Agent, #Means, or #Instrument is accurate."
372,3829,Achieving_first,Cognizer,cty_core,The #Cognizer comes up with or conceptualizes the #New_idea. It is normally expressed as an External Argument.
372,3830,Achieving_first,New_idea,cty_core,The #New_idea is a concept not previously present in society which the #Cognizer introduces.
372,3831,Achieving_first,Time,cty_peripheral,It identifies the #Time when the #Cognizer comes up with the #New_idea.
372,3832,Achieving_first,Place,cty_peripheral,It identifies the #Place where the #Cognizer comes up with the #New_idea.
372,3833,Achieving_first,Means,cty_peripheral,It identifies the #Means by which the #Cognizer accomplishes the innovative achievement.
372,3834,Achieving_first,Purpose,cty_peripheral,It identifies the #Purpose for which the #Cognizer creates the #New_idea.
372,3835,Achieving_first,Explanation,cty_extra-thematic,It identifies the #Explanation for which the #Cognizer created the #New_idea.
372,3836,Achieving_first,Field,cty_peripheral,The #Field is the general domain of endeavor to which the #Cognizer is contributing and of which the #New_idea is a part.
372,3837,Achieving_first,Instrument,cty_peripheral,An entity used by the #Cognizer to achieve the introduction of the #New_idea into society.
372,3838,Achieving_first,Manner,cty_peripheral,"Any description of the creative event which is not covered by more specific FEs, including secondary effects (quietly, loudly), and general descriptions comparing events (the same way). In addition, it may indicate salient characteristics of a #Cognizer that also affect the action (presumptuously, coldly, deliberately, eagerly, carefully)."
372,3839,Achieving_first,Basis,cty_peripheral,The conceptual material from which the #Cognizer invents the #New_idea.
372,3840,Achieving_first,Location_of_appearance,cty_extra-thematic,The Location_of_appearance is where the Invention is first discovered by others.
612,5980,Active_substance,Effect,cty_core,The change brought about by the Substance.
612,5981,Active_substance,Substance,cty_core,The internally undifferentiated physical entity that has an #Effect.
612,5982,Active_substance,Descriptor,cty_extra-thematic,A characterization of the #Substance.
612,5983,Active_substance,Type,cty_peripheral,This FE indicates what subtype of the general category the #Substance belongs to.
612,5984,Active_substance,Name,cty_peripheral,The name of the material that makes up the active #Substance.
113,1382,Activity,Activity,cty_core-unexpressed,It identifies the #Activity in which the  #Agent  is engaged.
113,1383,Activity,Duration,cty_peripheral,It identifies the amount of #Time an #Activity takes.
113,1384,Activity,Place,cty_peripheral,It identifies the #Place where the #Activity occurs.
113,1385,Activity,Time,cty_peripheral,It identifies the #Time when the #Activity occurs.
113,1386,Activity,Agent,cty_core,The #Agent is engaged in the #Activity.
113,1387,Activity,Manner,cty_peripheral,"Any description of the activity which is not covered by more specific FEs, including secondary effects (quietly, loudly), and general descriptions comparing events (the same way). It may also indicate salient characteristics of an #Agent that also affect the action (presumptuously, coldly, deliberately, eagerly, carefully)."
152,1722,Activity_abandoned_state,Agent,cty_core,It identifies the #Agent in an unfinished #State of an activity.
152,1723,Activity_abandoned_state,Time,cty_peripheral,The time at which the #Agent and Activity remain unfinished.
152,1724,Activity_abandoned_state,Duration,cty_peripheral,The length of time that the #Activity remains unfinished.
152,1725,Activity_abandoned_state,Activity,cty_core,The process that the #Agent is performing.
152,1726,Activity_abandoned_state,Place,cty_peripheral,The location at which the #Activity is no longer in progress.
164,1854,Activity_done_state,Agent,cty_core,It identifies the #Agent in a done state of an the #Activity.
164,1855,Activity_done_state,Activity,cty_core,It identifies the #Activity in which the #Agent was engaged.
164,1856,Activity_done_state,Time,cty_peripheral,The point at which the #Agent is done with the #Activity.
164,1857,Activity_done_state,Place,cty_peripheral,The location where the #Agent finishes the #Activity.
149,1676,Activity_finish,Depictive,cty_extra-thematic,It identifies the #Depictive phrase describing an actor or an undergoer of an action.
149,1677,Activity_finish,Manner,cty_peripheral,It identifies the #Manner an #Agent is engaged in finishing an #Activity.
149,1678,Activity_finish,Result,cty_extra-thematic,It identifies the #Result of finished #Activity.
149,1679,Activity_finish,Co-timed_event,cty_extra-thematic,It identifies the last #Co-timed_event of the finished #Activity.
149,1680,Activity_finish,Place,cty_peripheral,It identifies the #Place where the #Agent finishes the #Activity.
149,1681,Activity_finish,Time,cty_peripheral,It identifies the #Time when the #Activity finishes.
149,1682,Activity_finish,Agent,cty_core,It identifies the #Agent who has finished an #Activity.
149,1683,Activity_finish,Activity,cty_core,It identifies the #Activity that the #Agent has finished.
149,1684,Activity_finish,Means,cty_peripheral,It identifies the #Means by which an #Agent finishes an #Activity.
149,1685,Activity_finish,Purpose,cty_peripheral,It identifies the #Purpose for which an #Agent finishes for an #Activity.
149,1686,Activity_finish,Degree,cty_peripheral,It describes the how near the agent is to finishing.
149,1687,Activity_finish,Explanation,cty_extra-thematic,"The #Explanation denotes a proposition from which the main clause (headed by the target) logically follows. This often means that the #Explanation causes the target s proposition, but not in all cases."
149,1688,Activity_finish,Circumstances,cty_extra-thematic,Circumstances describe the state of the world (at a particular time and place) which is specifically independent of the event itself and any of its participants.
149,1689,Activity_finish,Containing_event,cty_extra-thematic,It denotes an event that occurs or state of affairs that holds at a time that includes the time during which the event or state of affairs reported by the target occurs and of which it is taken to be a part.
148,1663,Activity_ongoing,Duration,cty_core,"It denotes the length of #Time from the beginning of a continuous situation (the one denoted by the target) to its end. In many cases, the continuous situation is a dynamic action which is ongoing, while in others it is simply an undifferentiated state."
148,1664,Activity_ongoing,Activity,cty_core,It identifies the name of the ongoing #Activity in which an #Agent engages.
148,1665,Activity_ongoing,Place,cty_peripheral,It identifies the #Place where the ongoing #Activity occurs.
148,1666,Activity_ongoing,Purpose,cty_extra-thematic,It identifies the #Purpose for which an #Agent is engaged in an ongoing #Activity.
148,1667,Activity_ongoing,Time,cty_peripheral,It identifies the #Time when an ongoing #Activity occurs.
148,1668,Activity_ongoing,Depictive,cty_extra-thematic,it is used for the #Depictive phrase describing the actor or undergoer of an #Activity.
148,1669,Activity_ongoing,Manner,cty_peripheral,It identifies the #Manner in which an #Agent performs an ongoing #Activity.
148,1670,Activity_ongoing,Means,cty_peripheral,It identifies the #Means by which an #Agent engages in an ongoing #Activity.
148,1671,Activity_ongoing,Co-timed_event,cty_extra-thematic,It identifies the #Co-timed_event with which the #Agent continues an ongoing #Activity.
148,1672,Activity_ongoing,Agent,cty_core,The #Agent engages in an ongoing #Activity.
148,1673,Activity_ongoing,Explanation,cty_extra-thematic,"It denotes a proposition from which the main clause (headed by the target) logically follows. This often means that the #Explanation causes the target's proposition, but not in all cases."
148,1674,Activity_ongoing,Event_description,cty_extra-thematic,"In general, it is used for phrases that describe the clause of the target as a whole."
148,1675,Activity_ongoing,Circumstances,cty_extra-thematic,they describe the state of the world (at a particular time and place) which is specifically independent of the event itself and any of its participants.
151,1709,Activity_pause,Activity,cty_core,It identifies the #Activity for which an #Agent is pausing.
151,1710,Activity_pause,Agent,cty_core,An #Agent pauses in the course of an #Activity.
151,1711,Activity_pause,Manner,cty_peripheral,It identifies the #Manner in which an #Agent pauses during the course of an #Activity.
151,1712,Activity_pause,Means,cty_peripheral,It identifies the #Means by which an #Agent pauses in the course of an #Activity.
151,1713,Activity_pause,Place,cty_peripheral,It identifies the #Place where an #Agent pauses in the course of an #Activity.
151,1714,Activity_pause,Time,cty_peripheral,It identifies the #Time at which an #Agent pauses in the course of an #Activity.
151,1715,Activity_pause,Purpose,cty_peripheral,It identifies the #Purpose for which an #Agent pauses in the course of an #Activity.
151,1716,Activity_pause,Depictive,cty_extra-thematic,It is used for the #Depictive phrase describing the actor or undergoer of an action.
151,1717,Activity_pause,Completeness,cty_peripheral,The extent to which the #Agent pauses in the #Activity.
151,1718,Activity_pause,Duration,cty_peripheral,The length of time of the pause in the #Activity.
151,1719,Activity_pause,Legal_basis,cty_extra-thematic,It describes the legal basis or precedent by which the #Agent pauses the #Activity.
151,1720,Activity_pause,Explanation,cty_extra-thematic,"It denotes a proposition from which the main clause (headed by the target) logically follows. This often means that the #Explanation causes the target s proposition, but not in all cases."
151,1721,Activity_pause,Event_description,cty_extra-thematic,"In general, this FE is used for phrases that describe the clause of the target as a whole. There are two slightly different subgroups of modifying phrases that cover this function."
163,1850,Activity_paused_state,Agent,cty_core,It identifies the #Agent in the paused #State of an activity.
163,1851,Activity_paused_state,Time,cty_peripheral,The point at which the #Agent paused the #Activity.
163,1852,Activity_paused_state,Activity,cty_core,The overall event that the #Agent is involved in.
163,1853,Activity_paused_state,Duration,cty_peripheral,The length of time that the #Activity does not resume.
154,1734,Activity_prepare,Agent,cty_core,An #Agent prepares for an #Activity.
154,1735,Activity_prepare,Activity,cty_core,It identifies the #Activity for which an #Agent is preparing.
154,1736,Activity_prepare,Place,cty_peripheral,It identifies the #Place where an #Agent prepares for an #Activity.
154,1737,Activity_prepare,Time,cty_peripheral,It identifies the #Time at which an #Agent prepares for an #Activity.
154,1738,Activity_prepare,Manner,cty_peripheral,It identifies the #Manner in which an #Agent prepares for an #Activity.
154,1739,Activity_prepare,Means,cty_peripheral,It identifies the #Means with which an #Agent prepares for an #Activity.
154,1740,Activity_prepare,Purpose,cty_extra-thematic,It identifies the #Purpose for which an #Agent prepares for an #Activity.
154,1741,Activity_prepare,Duration,cty_peripheral,It identifies the length of #Time during which an #Agent prepares for an #Activity.
154,1742,Activity_prepare,Depictive,cty_extra-thematic,It is used for the #Depictive phrase describing the actor or undergoer of an action.
154,1743,Activity_prepare,Degree,cty_peripheral,It describes the amount of preparation the #Agent puts into an #Activity.
154,1744,Activity_prepare,Beneficiary,cty_extra-thematic,"This extrathematic FE applies to participants that derive a benefit from the occurrence of the event specified by the target predicate. Further, the target predicate should involve some sort of Agent that intends that the benefit go to the Beneficiary."
154,1745,Activity_prepare,Iterations,cty_extra-thematic,The frame element Iterations is used for expressions that indicate the number of times an event or state (of the kind denoted by the target in its clause) has taken place or held.
154,1746,Activity_prepare,Event_description,cty_extra-thematic,It describes the state of affairs denoted by the target as role fillers in other frames. The state of affairs reported by the target is understood to play a role in the state of affairs of the modifier.
153,1727,Activity_ready_state,Protagonist,cty_core,It identifies the #Protagonist in the initial state of an activity.
